,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
520,103,11,0,169,102,97
521,76,4,0,107,113,102
522,112,2,0,133,88,110
523,92,2,0,133,104,112
524,83,4,0,147,100,98
525,103,3,0,125,97,85
526,110,2,0,147,115,103
527,89,1,0,124,95,113
528,101,5,0,131,106,107
529,85,1,0,140,102,110
530,102,6,0,129,89,86
531,109,2,0,141,107,96
532,82,1,0,156,102,101
533,93,4,0,140,82,124
534,97,1,0,130,98,95
535,81,3,0,128,86,95
536,108,9,0,131,102,104
537,83,0,0,128,88,97
538,88,2,0,140,111,107
539,103,2,0,146,94,108
540,97,2,0,122,98,103
541,101,3,0,134,106,91
542,103,3,0,135,100,90
543,117,2,0,145,93,94
544,86,5,0,137,110,111
545,110,4,0,128,93,94
546,93,2,0,131,79,102
547,94,4,0,133,95,90
548,111,4,0,121,88,92
549,99,3,0,122,89,108
550,120,3,0,136,113,95
551,98,3,0,140,118,122
552,107,2,0,127,90,104
553,96,4,0,141,92,106
554,96,2,0,135,94,102
555,98,1,0,142,97,119
556,99,4,0,134,98,99
557,89,1,0,118,94,93
558,122,4,0,134,103,108
559,89,3,0,143,113,89
560,95,8,0,130,106,82
561,107,1,0,135,92,82
562,105,1,0,128,116,115
563,89,3,0,134,94,102
564,90,5,0,132,83,91
565,109,2,0,118,101,109
566,100,0,0,138,74,88
567,107,6,0,146,88,86
568,102,3,0,114,104,95
569,97,5,0,126,97,79
570,81,2,0,151,105,101
571,108,1,0,150,106,104
572,102,2,0,123,108,99
573,113,3,0,132,98,106
574,104,2,0,138,98,103
575,104,4,0,141,86,106
576,120,6,0,118,94,99
577,103,1,0,121,121,101
578,105,5,0,149,94,91
579,82,4,0,157,108,91
580,99,0,0,130,81,99
581,131,5,0,143,95,95
582,105,3,0,132,92,101
583,99,3,0,120,86,106
584,88,10,0,145,100,103
585,94,2,0,137,107,103
586,105,3,0,107,107,91
587,97,3,0,132,93,99
588,80,3,0,153,114,115
589,94,4,0,123,90,102
590,85,3,0,144,95,94
591,115,2,0,143,119,101
592,93,3,0,119,106,101
593,104,3,0,136,110,105
594,109,2,0,147,104,97
595,91,6,0,117,99,112
596,102,0,0,131,106,99
597,103,4,0,140,87,87
598,88,8,0,166,107,89
599,94,4,0,121,106,96
600,87,9,0,139,89,109
601,89,9,0,136,112,115
602,131,6,0,104,108,77
603,90,3,0,130,96,103
604,89,5,0,131,89,96
605,108,1,0,134,103,97
606,125,4,0,132,99,89
607,97,7,0,146,100,105
608,82,5,0,142,80,118
609,115,6,0,114,98,87
610,110,8,0,125,99,94
611,101,12,0,122,111,108
612,116,7,0,127,92,87
613,99,11,0,126,95,87
614,104,16,0,123,95,111
615,101,33,0,147,88,101
616,93,9,0,39,102,96
617,88,4,0,26,102,102
618,98,4,0,45,106,103
619,113,2,0,28,99,92
620,97,0,0,24,103,105
621,99,3,0,32,104,91
622,82,2,0,34,100,99
623,106,0,0,43,131,101
624,110,5,0,31,94,103
625,101,2,0,37,97,101
626,84,1,0,32,88,106
627,86,1,0,46,112,106
628,110,2,0,34,92,98
629,97,6,0,39,102,95
630,92,0,0,27,87,107
631,72,1,0,43,103,104
632,103,4,0,34,96,107
633,115,2,0,34,107,92
634,103,1,0,40,121,103
635,106,3,0,36,97,95
636,113,0,0,34,101,105
637,114,3,0,50,121,92
638,81,0,0,31,119,93
639,82,2,0,35,89,89
640,93,12,0,26,90,102
641,111,1,0,35,101,112
642,104,3,0,40,96,98
643,102,2,0,35,101,110
644,95,0,0,39,92,110
645,93,5,0,35,113,97
646,94,2,0,40,111,104
647,103,3,0,35,113,110
648,100,8,0,32,107,104
649,97,5,0,25,103,106
650,106,3,0,34,87,90
651,85,2,0,34,115,115
652,90,4,0,42,110,104
653,95,1,0,41,86,106
654,101,3,0,31,112,99
655,113,4,0,26,101,95
656,93,8,0,33,95,99
657,86,1,0,48,97,88
658,115,2,0,37,96,114
659,107,0,0,47,95,101
660,97,5,0,42,98,105
661,107,4,0,44,111,92
662,85,2,0,41,72,93
